,full_name,gender,type,state,district,full_district,party,personal_twitter,official_twitter,partisan_lean_2018,partisan_lean_2020,last_name,first_name,middle_name,suffix,url,address,phone,contact_form,rss_url,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,Bio,Follower Count
249,Mike Bost,M,rep,IL,12.0,IL-12,R,BostForCongress,RepBost,R+13.27,R+13.26,Bost,Mike,,,https://bost.house.gov,1211 Longworth House Office Building Washington DC 20515-1312,202-225-5661,,,RepBost,,UCYA1psY06vSf3QadHuCrmjQ,B001295,2243.0,N00035420,,H4IL12060,76176.0,412629,6302.0,Mike Bost,,21519.0,Mike Bost,passionate leadership for southern illinois,1265.0
250,Rodney Davis,M,rep,IL,13.0,IL-13,R,ElectRodney,RodneyDavis,R+7.7,R+7.68,Davis,Rodney,,,https://rodneydavis.house.gov,2079 Rayburn House Office Building Washington DC 20515-1313,202-225-2371,,http://rodneydavis.house.gov/rss.xml,RepRodneyDavis,RepRodneyDavis,UCiGPTfpwRxqQp0Bam5S8zwA,D000619,2126.0,N00034784,,H2IL13120,68337.0,412536,9622.0,Rodney Davis (Illinois),,21328.0,Rodney Davis (politician),congressman for the 13th district of illinois,2704.0
251,Lauren Underwood,F,rep,IL,14.0,IL-14,D,LaurenUnderwood,RepUnderwood,R+9.87,R+9.85,Underwood,Lauren,,,https://underwood.house.gov,1130 Longworth House Office Building Washington DC 20515-1314,202-225-2976,,,,,,U000040,,N00041569,,H8IL14174,,412776,177001.0,,,21979.0,Lauren Underwood,registered nurse  congresswoman representing the il-14 district  find me on facebook at underwoodforcongress and on ig at laurenaunderwood,137148.0
252,Mary E. Miller,F,rep,IL,15.0,IL-15,R,Miller_Congress,RepMaryMiller,R+44.67,R+44.8,Miller,Mary,E.,,https://marymiller.house.gov,1529 Longworth House Office Building Washington DC 20515-1315,202-225-5271,,,,,,M001211,,,,H0IL15129,,456820,,,,,Mary Miller (politician),congresswoman-elect for il-15 ,4449.0
253,Adam Kinzinger,M,rep,IL,16.0,IL-16,R,AdamKinzinger,RepKinzinger,R+17.97,R+17.97,Kinzinger,Adam,,,https://kinzinger.house.gov,2245 Rayburn House Office Building Washington DC 20515-1316,202-225-3635,,http://kinzinger.house.gov/common/rss//index.cfm?rss=49,RepKinzinger,RepAdamKinzinger,UCjDHxyjndxxhjuPWyEBc7UA,K000378,2014.0,N00030667,,H0IL11052,62573.0,412421,116559.0,Adam Kinzinger,,21128.0,Adam Kinzinger,lt  colonel in the  usairforce   currently serving in the  goairguard  personal account ,132236.0
254,Cheri Bustos,F,rep,IL,17.0,IL-17,D,CheriBustos,RepCheri,D+1.26,D+1.29,Bustos,Cheri,,,https://bustos.house.gov,1233 Longworth House Office Building Washington DC 20515-1317,202-225-5905,,http://bustos.house.gov/rss.xml,RepCheri,RepCheri,UCrkOYuIsVeb4dvKeeO7jnaA,B001286,2127.0,N00033390,,H2IL17071,63949.0,412537,134964.0,Cheri Bustos,,21329.0,Cheri Bustos,congresswoman from  il17 working hard to get real results for the families i serve  former reporter  wife  mother of three  athlete ,12990.0
255,Darin LaHood,M,rep,IL,18.0,IL-18,R,ElectLaHood,RepLaHood,R+29.9,R+29.95,LaHood,Darin,,,https://lahood.house.gov,1424 Longworth House Office Building Washington DC 20515-1318,202-225-6201,,,replahood,,UCVRbtFwaBGcixZIkygtalRw,L000585,2295.0,N00037031,,H6IL18088,70020.0,412674,128760.0,Darin LaHood,,21562.0,Darin LaHood,husband  father of 3  congressman for the 18th district of illinois,1162.0
256,Frank J. Mrvan,M,rep,IN,1.0,IN-1,D,mrvan4congress,RepMrvan,D+14.48,D+15.27,Mrvan,Frank,John,,https://mrvan.house.gov,1607 Longworth House Office Building Washington DC 20515-1401,202-225-2461,,,,,,M001214,,,,H0IN01150,,456821,,,,,Frank J. Mrvan,democratic representative-elect for indiana s first congressional district   for jobs  for healthcare  for us ,790.0
257,Jackie Walorski,F,rep,IN,2.0,IN-2,R,jackiewalorski,RepWalorski,R+21.99,R+21.23,Walorski,Jackie,,,https://walorski.house.gov,466 Cannon House Office Building Washington DC 20515-1402,202-225-3915,,http://walorski.house.gov/rss.xml,RepJackieWalorski,repwalorski,UC8fsSDjVJ_VnCF3ccx3Lkng,W000813,2128.0,N00031226,,H0IN02190,95005.0,412538,34205.0,Jackie Walorski,,21330.0,Jackie Walorski,honored to represent indiana s second district and take common sense hoosier solutions to the us congress  campaign account ,4666.0
258,Jim Banks,M,rep,IN,3.0,IN-3,R,Jim_Banks,RepJimBanks,R+34.12,R+33.43,Banks,Jim,,,https://banks.house.gov,1713 Longworth House Office Building Washington DC 20515-1403,202-225-4436,,,RepJimBanks,,UC_FR6TySW9uxvhjozkis6Xg,B001299,,N00037185,,H6IN03229,89806.0,412702,116801.0,Jim Banks,,21702.0,Jim Banks,congressman  in-3   afghanistan veteran  husband and father of three  committed to preserving the american dream for future generations ,7684.0
259,James R. Baird,M,rep,IN,4.0,IN-4,R,RepJimBaird,RepJimBaird,R+32.59,R+31.89,Baird,James,R.,,https://baird.house.gov,1314 Longworth House Office Building Washington DC 20515-1404,202-225-5037,,,,,,B001307,,N00041954,,H8IN04199,,412777,86013.0,James Baird,,21903.0,Jim Baird (politician),lifelong hoosier proudly representing the 4th congressional district ,5827.0
260,Victoria Spartz,F,rep,IN,5.0,IN-5,R,Victoria_Spartz,RepSpartz,R+15.32,R+14.53,Spartz,Victoria,,,https://spartz.house.gov,1523 Longworth House Office Building Washington DC 20515-1405,202-225-2276,,,,,,S000929,,,,H0IN05326,,456822,,,,,Victoria Spartz,mother of two daughters  businesswoman  farmer  cpa   fortune 500 finance professional  former state senator  american by choice  u s  representative  in05,7610.0
261,Greg Pence,M,rep,IN,6.0,IN-6,R,GregPenceIN,RepGregPence,R+36.42,R+35.75,Pence,Greg,,,https://pence.house.gov,211 Cannon House Office Building Washington DC 20515-1406,202-225-3021,,,,,,P000615,,N00041956,,H8IN06129,,412778,177876.0,Greg Pence,,21952.0,Greg Pence,congressman for indiana s 6th district ,6893.0
262,André Carson,M,rep,IN,7.0,IN-7,D,Andre4Congress,RepAndreCarson,D+22.54,D+23.3,Carson,André,,,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,C001072,1889.0,N00029513,,H8IN07184,1027364.0,412258,84917.0,Andre Carson,,20757.0,André Carson,serving indiana\xe2\x80\x99s 7 congressional district  this is the official twitter account for my 2020 re-election campaign ,3005.0
263,Larry Bucshon,M,rep,IN,8.0,IN-8,R,DrLarryBucshon,RepLarryBucshon,R+30.59,R+29.87,Bucshon,Larry,,,https://bucshon.house.gov,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,,http://bucshon.house.gov/rss.xml,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,B001275,2018.0,N00031227,,H0IN08114,61837.0,412427,120335.0,Larry Bucshon,,21132.0,Larry Bucshon,husband  father of four  doctor  congressman representing  in08 ,2102.0
264,Trey Hollingsworth,M,rep,IN,9.0,IN-9,R,VoteForTrey,reptrey,R+25.29,R+24.54,Hollingsworth,Trey,,,https://hollingsworth.house.gov,1641 Longworth House Office Building Washington DC 20515-1409,202-225-5315,,,reptrey,,UCTgS8a_zLg8HpUnk5WXY5ag,H001074,,N00038429,,H6IN09176,104247.0,412703,167423.0,Trey Hollingsworth,,21725.0,Trey Hollingsworth,official twitter account of the trey for congress campaign  u s  representative for  in09 ,1180.0
265,Tracey Mann,M,rep,KS,1.0,KS-1,R,TraceyMannKS,RepMann,R+46.55,R+44.54,Mann,Tracey,Robert,,https://mann.house.gov,522 Cannon House Office Building Washington DC 20515-1601,202-225-2715,,,,,,M000871,,,,H0KS01123,,456823,,,,,Tracey Mann,50th lieutenant governor of kansas  republican candidate for the first congressional district in kansas ,1928.0
266,Jake LaTurner,M,rep,KS,2.0,KS-2,R,JakeLaTurner,RepLaTurner,R+19.05,R+16.9,LaTurner,Jacob,,,https://laturner.house.gov,1630 Longworth House Office Building Washington DC 20515-1602,202-225-6601,,,,,,L000266,,,,H0KS02188,,456824,,,,,Jake LaTurner,conservative congressman for  ks02  6th-generation kansan  faith in god  family  love of country  husband to suzanne  father to ava  joe  maggie  and gus ,1970.0
267,Sharice Davids,F,rep,KS,3.0,KS-3,D,sharicedavids,RepDavids,R+4.75,R+2.58,Davids,Sharice,,,https://davids.house.gov,1541 Longworth House Office Building Washington DC 20515-1603,202-225-2865,,,,,,D000629,,N00042626,,H8KS03155,,412780,181201.0,Sharice Davids,,21914.0,Sharice Davids,putting kansans first and fighting for opportunity  because everyone deserves a shot at success  proud to represent  ks03 in the us congress ,138702.0
268,Ron Estes,M,rep,KS,4.0,KS-4,R,RonEstesKS,RepRonEstes,R+29.02,R+26.91,Estes,Ron,,,https://estes.house.gov,2411 Rayburn House Office Building Washington DC 20515-1604,202-225-6216,,,RepRonEstes,,UC2clc28qcehIqotHQcthnWA,E000298,,N00040712,,H8KS04112,107963.0,412735,125031.0,Ron Estes (U.S. House representative),,21750.0,Ron Estes,kansas champion  engineering common sense solutions  husband  father  engineer  leader  conservative   ks04,1446.0
269,James Comer,M,rep,KY,1.0,KY-1,R,JamesComer,RepJamesComer,R+39.53,R+39.94,Comer,James,,,https://comer.house.gov,2410 Rayburn House Office Building Washington DC 20515-1701,202-225-3115,,https://comer.house.gov/rss.xml,congressmancomer,,,C001108,,N00038260,,H6KY01110,76619.0,412676,35169.0,James Comer Jr.,,21565.0,James Comer (politician),kentucky congressman  republican leader of house oversight committee  tweets are about family  friends  sports  farming   politics  personal account ,16110.0
270,Brett Guthrie,M,rep,KY,2.0,KY-2,R,brettguthrie,RepGuthrie,R+31.76,R+32.17,Guthrie,Brett,,,https://guthrie.house.gov,2434 Rayburn House Office Building Washington DC 20515-1702,202-225-3501,,http://guthrie.house.gov/common/rss/?rss=24,CongressmanGuthrie,BrettGuthrie,UCdJhDw-YbdH0RHfWK0sIfiw,G000558,1922.0,N00029675,,H8KY02031,1031343.0,412278,18829.0,Brett Guthrie,,20916.0,Brett Guthrie,congressman serving kentucky s 2nd district ,6489.0
271,John A. Yarmuth,M,rep,KY,3.0,KY-3,D,RepJohnYarmuth,RepJohnYarmuth,D+18.54,D+18.14,Yarmuth,John,A.,,https://yarmuth.house.gov,402 Cannon House Office Building Washington DC 20515-1703,202-225-5401,,,2.14259E+11,RepJohnYarmuth,UCy5KW4yrEfEiyZRX45Eoxkg,Y000062,1853.0,N00028073,,H6KY03124,1021662.0,412211,58579.0,John Yarmuth,,20723.0,John Yarmuth,chairman of the house budget committee  congressman representing kentucky\xe2\x80\x99s third congressional district ,50884.0
272,Thomas Massie,M,rep,KY,4.0,KY-4,R,MassieforKY,RepThomasMassie,R+29.23,R+29.63,Massie,Thomas,,,https://massie.house.gov,2453 Rayburn House Office Building Washington DC 20515-1704,202-225-3465,,http://massie.house.gov/rss.xml,RepThomasMassie,repthomasmassie,UCpmXOtvvXC3GE8o9VxYNK7g,M001184,2094.0,N00034041,,H2KY04121,79951.0,412503,132068.0,Thomas Massie,,31102.0,Thomas Massie,official campaign account of thomas massie for congress \nfighting for the taxpayers of kentucky s 4th district since 2012 \npro-life  pro-2a  pro-constitution,1804.0
273,Harold Rogers,M,rep,KY,5.0,KY-5,R,HalRogersKY5,RepHalRogers,R+54.43,R+54.86,Rogers,Harold,,,https://halrogers.house.gov,2406 Rayburn House Office Building Washington DC 20515-1705,202-225-4601,,http://halrogers.house.gov/news/rss.aspx,CongressmanHalRogers,RepHalRogers,UChVFKLZkRoHQDhp4zNvEezQ,R000395,977.0,N00003473,,H0KY05015,6739.0,400340,26875.0,Harold Rogers,,14854.0,Hal Rogers,this is the official campaign twitter account for hal rogers ,163.0
274,Andy Barr,M,rep,KY,6.0,KY-6,R,barrforcongress,RepAndyBarr,R+10.5,R+10.89,Barr,Garland,,,https://barr.house.gov,2430 Rayburn House Office Building Washington DC 20515-1706,202-225-4706,,http://barr.house.gov/rss.xml,RepAndyBarr,RepAndyBarr,UCVL2s6x7f7H0ZJ-uwU0pQ6Q,B001282,2131.0,N00031233,,H0KY06104,61848.0,412541,117290.0,Andy Barr,,21333.0,Andy Barr (American politician),trusted by voters of  ky06 to represent them in congress since 2013  the true conservative for central kentucky ,5040.0
275,Steve Scalise,M,rep,LA,1.0,LA-1,R,SteveScaliseGOP,SteveScalise,R+41.19,R+42.91,Scalise,Steve,Joseph,,https://scalise.house.gov,2049 Rayburn House Office Building Washington DC 20515-1801,202-225-3015,,http://scalise.house.gov/rss.xml,RepSteveScalise,RepSteveScalise,UCmYveHBVXVBRxl7GiCL-gjw,S001176,1892.0,N00009660,,H0LA01087,1015311.0,412261,9026.0,Steve Scalise,,20759.0,Steve Scalise,house gop whip  congressman for louisiana\xe2\x80\x99s 1st district  fighting for conservative values   combatting the dems\xe2\x80\x99 radical socialist agenda  dad  saints/lsu fan ,51438.0
276,Clay Higgins,M,rep,LA,3.0,LA-3,R,CaptClayHiggins,RepClayHiggins,R+35.19,R+36.95,Higgins,Clay,,,https://clayhiggins.house.gov,572 Cannon House Office Building Washington DC 20515-1803,202-225-2031,,,CongressmanClayHiggins,,,H001077,,N00039953,,H6LA03148,106094.0,412705,174484.0,Clay Higgins,,21724.0,Clay Higgins,husband  father  army veteran  former swat operator  congressman la-3  patriot  constitutionalist  also   realdonaldtrump is still president   maga  kag,2026.0
277,Mike Johnson,M,rep,LA,4.0,LA-4,R,MikeJohnson,RepMikeJohnson,R+20.96,R+22.78,Johnson,Mike,,,https://mikejohnson.house.gov,568 Cannon House Office Building Washington DC 20515-1804,202-225-2777,,,RepMikeJohnson,,UCzqBEpeIaDEfvAtsA53Fx2Q,J000299,,N00039106,,H6LA04138,106095.0,412706,156097.0,Mike Johnson (Louisiana),,21727.0,Mike Johnson (Louisiana politician),,2010.0
278,Garret Graves,M,rep,LA,6.0,LA-6,R,garretgraves,RepGarretGraves,R+32.42,R+34.19,Graves,Garret,,,https://garretgraves.house.gov,2402 Rayburn House Office Building Washington DC 20515-1806,202-225-3901,,,CongressmanGarretGraves,,UCQLg9GGwTDluEFJtXf8seTA,G000577,2245.0,N00036135,,H4LA06153,9274609.0,412631,155424.0,Garret Graves,,21523.0,Garret Graves,baton rouge native \xe2\x80\xa2 proud husband   dad \xe2\x80\xa2 congressman proudly serving  la06 \xe2\x80\xa2 fmr chair of coastal protection   restoration authority,4573.0
279,Richard E. Neal,M,rep,MA,1.0,MA-1,D,NealForCongress,RepRichardNeal,D+27.23,D+20.85,Neal,Richard,E.,,https://neal.house.gov,372 Cannon House Office Building Washington DC 20515-2101,202-225-5601,,http://neal.house.gov/index.php?format=feed&amp;type=rss,reprichardneal,RepRichardENeal,UCZVtTydu0-MSK6G12GaKA4g,N000015,854.0,N00000153,,H8MA02041,6103.0,400291,26895.0,Richard Neal,,15616.0,Richard Neal,serving western and central mass in congress  official campaign page ,917.0
280,James P. McGovern,M,rep,MA,2.0,MA-2,D,McGovernMA,RepMcGovern,D+22.96,D+16.57,McGovern,James,P.,,https://mcgovern.house.gov,370 Cannon House Office Building Washington DC 20515-2102,202-225-6101,,http://mcgovern.house.gov/common/rss/?rss=15,RepJimMcGovern,repjimmcgovern,UCpiUqp2ZF64tXqgR_EQo27g,M000312,1504.0,N00000179,,H4MA03022,45976.0,400263,552.0,Jim McGovern (Massachusetts),,29729.0,Jim McGovern (American politician),fighter for  ma02 in congress  no corporate pac/fossil fuel     together let\xe2\x80\x99s  endhungernow  restore decency to our democracy   invest in all our families ,7566.0
281,Lori Trahan,F,rep,MA,3.0,MA-3,D,LoriTrahanMA,RepLoriTrahan,D+23.9,D+17.51,Trahan,Lori,,,https://trahan.house.gov,2439 Rayburn House Office Building Washington DC 20515-2103,202-225-3411,,,,,,T000482,,N00041808,,H8MA03106,,412781,182310.0,Lori Trahan,,21977.0,Lori Trahan,mom  lowell native  and congresswoman for massachusetts 3rd district ,7433.0
282,Jake Auchincloss,M,rep,MA,4.0,MA-4,D,JakeAuch,RepAuchincloss,D+24.96,D+18.58,Auchincloss,Jake,Daniel,,https://auchincloss.house.gov,1524 Longworth House Office Building Washington DC 20515-2104,202-225-5931,,,,,,A000148,,,,H0MA04192,,456825,,,,,Jake Auchincloss,congressman for the  ma04  \nmember  transportation   infrastructure and financial services committees ,5816.0
283,Katherine M. Clark,F,rep,MA,5.0,MA-5,D,KatherineClark,RepKClark,D+43.3,D+36.97,Clark,Katherine,M.,,https://katherineclark.house.gov,2448 Rayburn House Office Building Washington DC 20515-2105,202-225-2836,,,CongresswomanClark,,UCgaI52w7QKI8LtkSeCCmSuw,C001101,2196.0,N00035278,,H4MA05084,73178.0,412600,35858.0,Katherine Clark,,21375.0,Katherine Clark,congresswoman for 5th district in ma  mom of three great kids ,12759.0
284,Seth Moulton,M,rep,MA,6.0,MA-6,D,sethmoulton,teammoulton,D+19.06,D+12.66,Moulton,Seth,,,https://moulton.house.gov,1127 Longworth House Office Building Washington DC 20515-2106,202-225-8020,,,CongressmanSethMoulton,,UC5w5qn7nj5Ljy69LTV7a_fQ,M001196,2246.0,N00035431,,H4MA06090,78453.0,412632,146299.0,Seth Moulton,,21525.0,Seth Moulton,father  husband  marine  congressman  it s time for a new generation of leadership   serve america \xf0\x9f\x87\xba\xf0\x9f\x87\xb8,151570.0
285,Ayanna Pressley,F,rep,MA,7.0,MA-7,D,AyannaPressley,RepPressley,D+73.96,D+67.85,Pressley,Ayanna,,,https://pressley.house.gov,1108 Longworth House Office Building Washington DC 20515-2107,202-225-5111,,,,,,P000617,,N00042581,,H8MA07032,,412782,122700.0,Ayanna Pressley,,21955.0,Ayanna Pressley,your congresswoman  proudly representing the ma 7th  here to break concrete ceilings   shake the table  personal account  she/hers   changecantwait,1085540.0
286,Stephen F. Lynch,M,rep,MA,8.0,MA-8,D,RepLynch,RepStephenLynch,D+26.53,D+20.15,Lynch,Stephen,F.,,https://lynch.house.gov,2109 Rayburn House Office Building Washington DC 20515-2108,202-225-8273,,http://lynch.house.gov/rss.xml,repstephenlynch,RepLynch,UCxL4zG0YWqC5XTO4af_FOgw,L000562,1686.0,N00013855,,"H2MA09072,S0MA00083",1000222.0,400249,4844.0,Stephen Lynch,,20119.0,Stephen F. Lynch,this is the official campaign account for congressman stephen f  lynch  tweets signed -sfl are from stephen   mapoli,4787.0
287,William R. Keating,M,rep,MA,9.0,MA-9,D,WilliamKeating,USRepKeating,D+14.8,D+8.39,Keating,William,R.,,https://keating.house.gov,2351 Rayburn House Office Building Washington DC 20515-2109,202-225-3111,,http://keating.house.gov/index.php?format=feed&amp;type=rss,Congressman.Keating,RepBillKeating,UC7KPV4xdxO2dms9vl6tETmg,K000375,2025.0,N00031933,,H0MA10082,61856.0,412435,4743.0,Bill Keating,,21140.0,Bill Keating (politician),u s  congressman proudly serving  ma09  welcome to my campaign twitter account ,4069.0
288,Andy Harris,M,rep,MD,1.0,MD-1,R,Harris4Congress,RepAndyHarrisMD,R+30.39,R+29.89,Harris,Andy,,,https://harris.house.gov,2334 Rayburn House Office Building Washington DC 20515-2001,202-225-5311,,http://harris.house.gov/rss.xml,AndyHarrisMD,RepAndyHarris,UCvUuV7FiJfJi1yux4qozgMg,H001052,2026.0,N00029147,,H8MD01094,1033464.0,412434,19157.0,Andrew Harris,,21139.0,Andy Harris (politician),andy harris  m d  - congressman from maryland s 1st district   physician  campaign for reelection 2016,1177.0
289,C. A. Dutch Ruppersberger,M,rep,MD,2.0,MD-2,D,GoDutchForMD,Call_Me_Dutch,D+21.88,D+22.37,Ruppersberger,C.,A. Dutch,,https://ruppersberger.house.gov,2206 Rayburn House Office Building Washington DC 20515-2002,202-225-3061,,http://dutch.house.gov/atom.xml,DutchRupp,ruppersberger,UCk2S9iSHNpo1E1A7qZ0SPIw,R000576,1728.0,N00025482,,H2MD02160,49155.0,400349,36130.0,Dutch Ruppersberger,,20329.0,Dutch Ruppersberger,homegrown baltimorean known as the common sense congressman  loves family  country  and crabcakes  believes politics is the business of customer service   md02,292.0
290,John P. Sarbanes,M,rep,MD,3.0,MD-3,D,JohnSarbanes,RepSarbanes,D+24.44,D+24.94,Sarbanes,John,P.,,https://sarbanes.house.gov,2370 Rayburn House Office Building Washington DC 20515-2003,202-225-4016,,http://sarbanes.house.gov/rss_news.asp,RepSarbanes,RepJohnSarbanes,UCCypi0IDTr-XxlAXsJCdBZQ,S001168,1854.0,N00027751,,H6MD03292,1022884.0,412212,66575.0,John Sarbanes,,20724.0,John Sarbanes,working hard for maryland s 3rd congressional district  connect on facebook   https //t co/gsrubq4kwc  by authority of friends of john sarbanes ,5271.0
291,Anthony Brown,M,rep,MD,4.0,MD-4,D,AnthonyBrownMD4,RepAnthonyBrown,D+53.68,D+54.17,Brown,Anthony,G.,,https://anthonybrown.house.gov,1323 Longworth House Office Building Washington DC 20515-2004,202-225-8699,,,RepAnthonyBrown,RepAnthonyBrown,,B001304,,N00036999,,H6MD04209,1029537.0,412707,19344.0,Anthony Brown (Maryland),,21707.0,Anthony G. Brown,congressman for maryland s 4th congressional district  father  husband and former army aviator,8411.0
292,Steny H. Hoyer,M,rep,MD,5.0,MD-5,D,StenyHoyer,LeaderHoyer,D+28.81,D+29.31,Hoyer,Steny,H.,,https://hoyer.house.gov,1705 Longworth House Office Building Washington DC 20515-2005,202-225-4131,,http://hoyer.house.gov/index.php?format=feed&amp;type=rss,WhipHoyer,LeaderHoyer,UCvxgqX65cdhHNjJn64cgY9g,H000874,566.0,N00001821,,H2MD05155,1919.0,400189,26890.0,Steny Hoyer,,14873.0,Steny Hoyer,i represent maryland s fifth congressional district and serve as the house majority leader in the 117th congress  this is my official campaign page ,17613.0
293,David J. Trone,M,rep,MD,6.0,MD-6,D,davidjtrone,repdavidtrone,D+10.44,D+10.94,Trone,David,J.,,https://trone.house.gov,1110 Longworth House Office Building Washington DC 20515-2006,202-225-2721,,,,,,T000483,,N00039122,,H6MD08549,,412783,167336.0,David Trone,,21978.0,David Trone,owner  totalwine  progressive democrat  husband  father  congressman for maryland s 6th district  e-mail  david at https //t co/jwjn4cwcsv,8938.0
294,Kweisi Mfume,M,rep,MD,7.0,MD-7,D,Mfume4Congress,RepKweisiMfume,D+51.28,D+51.77,Mfume,Kweisi,,,https://mfume.house.gov,2263 Rayburn House Office Building Washington DC 20515-2007,202-225-4741,,,RepKweisiMfume,,,M000687,798.0,N00001799,,"S6MD03185,H6MD07020,H0MD07114",,407672,,,,15433.0,Kweisi Mfume,congressman kweisi mfume  democratic candidate for the 7th congressional district in maryland  mfume for congress committee in formation with the fec ,3543.0
295,Jamie Raskin,M,rep,MD,8.0,MD-8,D,jamie_raskin,repraskin,D+27.84,D+28.34,Raskin,Jamie,,,https://raskin.house.gov,2242 Rayburn House Office Building Washington DC 20515-2008,202-225-5341,,,repraskin,,UChxDE6vho5BfBTOqiBsDmKg,R000606,,N00037036,,H6MD08457,12924.0,412708,65904.0,Jamie Raskin,,21741.0,Jamie Raskin,congressman representing  md08  training young progressive organizers with  democracysummermd  my official house of representatives account is  repraskin ,39395.0
296,Chellie Pingree,F,rep,ME,1.0,ME-1,D,PingreeForME,ChelliePingree,D+14.87,D+12.99,Pingree,Chellie,,,https://pingree.house.gov,2162 Rayburn House Office Building Washington DC 20515-1901,202-225-6116,,http://pingree.house.gov/index.php?format=feed&amp;type=rss,ChelliePingree,congresswomanpingree,UCLKaWFM7I84WcreDRhhhkVg,P000597,1927.0,N00013817,,"H8ME01120,S0ME00038",1002167.0,412307,6586.0,Chellie Pingree,,20920.0,Chellie Pingree,mother  grandmother  organic farmer  small business owner  and democrat running to continue representing the great people of maine s 1st congressional district,422.0
297,Jared F. Golden,M,rep,ME,2.0,ME-2,D,golden4congress,repgolden,R+6.13,R+8.03,Golden,Jared,Forrest,,https://golden.house.gov,1222 Longworth House Office Building Washington DC 20515-1902,202-225-6306,,,,,,G000592,,N00041668,,H8ME02185,,412842,151420.0,Jared Golden,,21923.0,Jared Golden,campaign account - congressman representing maine\xe2\x80\x99s 2nd district -  teamgolden,7533.0
298,Jack Bergman,M,rep,MI,1.0,MI-1,R,JackBergman_MI1,RepJackBergman,R+18.64,R+14.29,Bergman,Jack,,,https://bergman.house.gov,566 Cannon House Office Building Washington DC 20515-2201,202-225-4735,,,RepJackBergman,RepJackBergman,,B001301,,N00039533,,H6MI01226,1020529.0,412709,170172.0,Jack Bergman,,21704.0,Jack Bergman,official campaign account for jack bergman \xe2\x80\xa2 lt  general  usmc  ret  \xe2\x80\xa2 airline pilot \xe2\x80\xa2 small business owner \xe2\x80\xa2 grandpa \xe2\x80\xa2 representative for  mi01 \xe2\x80\xa2,2005.0
299,Bill Huizenga,M,rep,MI,2.0,MI-2,R,billhuizenga,RepHuizenga,R+17.71,R+13.34,Huizenga,Bill,,,https://huizenga.house.gov,2232 Rayburn House Office Building Washington DC 20515-2202,202-225-4401,,http://huizenga.house.gov/news/rss.aspx,RepHuizenga,RepHuizenga,UCQPlLLiMnysMmeJ5qUSSjQg,H001058,2028.0,N00030673,,H0MI02094,1033765.0,412437,38351.0,Bill Huizenga,,21142.0,Bill Huizenga,as a small business owner and us representative  i have the background and passion to confront the challenges that face michigan s 2nd district ,3694.0
300,Peter Meijer,M,rep,MI,3.0,MI-3,R,VoteMeijer,RepMeijer,R+10.38,R+5.95,Meijer,Peter,James,,https://meijer.house.gov,1508 Longworth House Office Building Washington DC 20515-2203,202-225-3831,,,,,,M001186,,,,H0MI03308,,456826,,,,,Peter Meijer,running for congress in  mi03  past  irq  afg  personal   pjfm ig  https //t co/zpp4sfqb4m,11833.0
301,John R. Moolenaar,M,rep,MI,4.0,MI-4,R,JohnMoolenaar,RepMoolenaar,R+20.88,R+16.55,Moolenaar,John,R.,,https://moolenaar.house.gov,117 Cannon House Office Building Washington DC 20515-2204,202-225-3561,,,RepMoolenaar,,UCnMvVN4a8roZu4crE0UW2DA,M001194,2248.0,N00036275,,H4MI04126,76660.0,412634,37676.0,John Moolenaar,,21526.0,John Moolenaar,running to represent michigan s 4th district in congress,1138.0
302,Daniel T. Kildee,M,rep,MI,5.0,MI-5,D,dankildee,RepDanKildee,D+8.59,D+13,Kildee,Daniel,T.,,https://dankildee.house.gov,200 Cannon House Office Building Washington DC 20515-2205,202-225-3611,,http://dankildee.house.gov/rss.xml,RepDanKildee,RepDanKildee,UC_KpQ-n3IT5dL5ul21XA9Yw,K000380,2134.0,N00033395,,H2MI05119,623723.0,412546,136102.0,Dan Kildee,,21372.0,Dan Kildee,fighting for michigan  focused on boosting middle class wages  lowering the cost of health care and ensuring clean drinking water for all ,6175.0
303,Fred Upton,M,rep,MI,6.0,MI-6,R,UptonForAllOfUs,RepFredUpton,R+7.74,R+3.31,Upton,Fred,Stephen,,https://upton.house.gov,2183 Rayburn House Office Building Washington DC 20515-2206,202-225-3761,,http://www.house.gov/news/rss.aspx,RepFredUpton,RepFredUpton,UCsN16IzEo4ViZNEMgeCrQ7w,U000031,1177.0,N00004133,,H6MI04113,12127.0,400414,26906.0,Fred Upton,,15446.0,Fred Upton,official campaign account  husband  father  and proud to represent the commonsense values of michigan   mi06  teamupton,2828.0
